name,uuid,asset_type,address,amount
Joyful_Sloth1,b7325c2f-308c-4d71-8ead-0c2b9a560913,ETH_TEST3,0xff14132c586ac3460cde8221cbfafea12f377eba,0.01
Vibrant_Koala1,fb306431-4840-4a5d-89d6-8e22a9841f71,ETH_TEST3,0x1343a20938a23114e9c7e53f0d4bdde642d5aae6,0.01
Kind_Unicorn1,77b8b128-e5c7-4ea1-bde0-4331b37b6aae,ETH_TEST3,0x6acb269dcb4513c59f96c70e50a8192fabf99cdf,0.01
Sad_Elephant1,037fbc44-d15a-45bb-8106-5a51126d90b4,ETH_TEST3,0xf6141827b9dafb27ce947058de759a7e5332c4d4,0.01
Funny_Unicorn1,95932437-6814-4137-87c4-2c304d6fda83,ETH_TEST3,0x826b6b491e764236adf0af22f0e4e3e658332d25,0.01
Spunky_Lion1,163d9d27-bcf2-4eec-90a7-ce911594e029,ETH_TEST3,0x7f44a5bfd6dfb2cb083bc9fe4347ea46c0bdc8c5,0.01
Happy_Penguin1,d054a511-96c4-4931-81a3-0e475834b65c,ETH_TEST3,0xef30ae5aa1bde58a487ea364483c1c3e80a0543c,0.01
Happy_Tiger1,fd544823-312c-4c53-820a-52c0dc790e39,ETH_TEST3,0xb0be28049e78e068a7f7821ad5cec4acdda53796,0.01
Spunky_Narwhal1,0daa9aaf-28f7-42dc-9f90-e43a128b9075,ETH_TEST3,0x4010043b6baae39c306052b1c7630164048c900e,0.01
Jolly_Unicorn1,b1357e32-fa7c-4248-b854-3b2a32f780c1,ETH_TEST3,0x2cc533e175f7fdd0d949bab0c388e64e31f5879c,0.01
Kind_Koala1,fab20490-09f1-41c4-82ee-dc72b67204ef,ETH_TEST3,0xe800378e5a02299ab0f78bae496d659797f101a0,0.01
Sad_Elephant1,f06b7fbd-82b8-4320-9b6f-3549633fc278,ETH_TEST3,0x577fc86e23aedcdc7fa282c97947c0eb31ffd705,0.01
Spunky_Lion1,84f66398-78b2-43c4-87b0-7d0a8d4c5d89,ETH_TEST3,0x07ae0a311a34b8026854b91b163cac128bdae57b,0.01
Joyful_Penguin1,de5f6e15-7aa5-4461-b96a-fb9a75743f53,ETH_TEST3,0xe83cd9321b0a37de65bc4826ba054875581fadb1,0.01
Happy_Sloth1,c24cac0d-6e47-4e7d-90b4-ddf0ab5108f8,ETH_TEST3,0x456a2bac698cb11ed46f7634500f4456ab238706,0.01
Sad_Octopus1,88ab1417-3340-4ba2-ae03-78a8b36022d4,ETH_TEST3,0x4d54d2ea281ba072e3b8d4f4abf87a6a15b47752,0.01
Funny_Giraffe1,3b9f62c1-86a3-4a2d-a085-4a97e2273a23,ETH_TEST3,0x8a29c62f97b6e8287619538e138379976629cca0,0.01
Witty_Panda1,7ad5a665-4adb-4077-9cf9-01d429b6af8e,ETH_TEST3,0x2b3d95df96d37d348ac20fc04d1d135e615bef6f,0.01
Cheery_Penguin1,d382f4f0-a662-4921-bf6d-bcf25448650e,ETH_TEST3,0x6950c95728a319377682cae10e911ea68ac61563,0.01
Clever_Tiger1,52545a33-ac47-4ba3-ab0b-42239477455e,ETH_TEST3,0x82a8905ba8d7707f30c99e244f22d15dcdc05d8a,0.01
Cheery_Sloth1,a0853624-c29e-47a8-99f6-95b4ddeb646e,ETH_TEST3,0xd752349f3707c1d77d579b7a26139dd412221fc4,0.01
Kind_Flamingo1,acbbc691-b6f9-4f9d-b71e-502172e2eabb,ETH_TEST3,0x406fe30df211abe4f0b106a18fda4fdb119fffd7,0.01
Playful_Lion1,2c4090c5-040d-442d-92a8-4f070c609aa0,ETH_TEST3,0x16b69d95cef5007437a8d9245d8d1528f4f38cdb,0.01
