name,uuid,asset_type,address,amount
Clever_Kangaroo,6a3bbe35-ff8a-4bdf-8815-e02e4a406b9b,ETH_TEST5,0x644718607b111e66b85364d3800bac8730a8bd74,0.0001
Eric Wallet, 6a3bbe35-ff8a-4bdf-8815-e02e4a406b9c,ETH_TEST5,0x2e9E16e6deB4022399E4FCd387bCB59Ac5855762,0.05
Witty_Kangaroo,0cf4a96d-a79a-4681-a646-34652b96f066,ETH_TEST5,0xe4ff0d3d52419ef3f1d5d955ee8bf6afea59589e,0.0001
Bubbly_Tiger,4fb5cd65-87de-4b85-95a6-57cb9a8692a6,ETH_TEST5,0x79f90dc48dd8e1d70958d1cbbeb93e70f68912dd,0.0001
Zany_Narwhal,70baa448-b2bc-4498-ac2c-094be719d060,ETH_TEST5,0xf54d255c7e3327d0165ffc6dfe2c9953203b6fe7,0.0001
Angry_Octopus,f45251ca-deec-4b22-a0ec-9da360f9cb00,ETH_TEST5,0xcfe33503cee4f9b1c33cb8c47bbca0e84c0f9b22,0.0001
Brave_Kangaroo,7b8ee457-8b55-4c0c-9279-5f6d3cf48f7e,ETH_TEST5,0x1e534b6162fdb9a9d717d9af627f7a6834b24841,0.0001
Silly_Panda,7a6d9aa2-0501-432c-bc47-852ef5c6ae94,ETH_TEST5,0x48c8ab1c275cc8b07208883bd1879a6cd61ea99f,0.0001
Brave_Koala,96e4ee30-d106-4c2d-aefe-be638f266ca5,ETH_TEST5,0x3b9a09ddf5e012551d52a025563aebe9380318e1,0.0001
Kind_Dragon,7766d4a6-e923-4757-b80c-b616d41c5a11,ETH_TEST5,0x25e3c7a5cdec2987766f40023cccd888852926c1,0.0001
Joyful_Monkey,a074da5a-6b2e-491d-bb5a-1576ee2ac5a4,ETH_TEST5,0xc780ab49f43c6a04ca7eb1faf7f4841029bb9fc0,0.0001
Brave_Tiger,c0fc3a66-c86c-411c-a822-e83f52b02724,ETH_TEST5,0x61fdf10edc146f0577b5f7fbf96737fc0018de42,0.0001
Cheery_Koala,ca571356-c3db-4080-83eb-c331ee31f267,ETH_TEST5,0x02b26b0da1da1557608c2cb20e3a45a728d69ea9,0.0001
Silly_Tiger,a08817c3-b694-4d8e-80d0-ba3996d12101,ETH_TEST5,0xfa1efe1e3a2b1b09af60032db963a9c1a931ddc7,0.0001
